,Protein name,T Test
0,Ferritin,6.210134012275695e-10
1,Protein FAM65B,3.456652116657894e-08
2,"Transferrin receptor protein 1 (Transferrin receptor, isoform CRA_a)",1.3246315776504466e-06
3,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (NADH-ubiquinone oxidoreductase 24 kDa subunit)",6.002920853462859e-05
4,Retinoid-inducible serine carboxypeptidase (EC 3.4.16.-) (Serine carboxypeptidase 1),0.00018536138720611712
5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",0.0008590104527189071
6,Glycerol kinase,0.0012548137862829383
7,"Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Cytosolic acetoacetyl-CoA thiolase)",0.0016888688068097011
8,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),0.0019226211773392416
9,"Betaine--homocysteine S-methyltransferase 1 (RCG44400, isoform CRA_c)",0.0023341747754921298
10,Protein Ociad2,0.0025656331458528666
11,Protein Igkc,0.002965623802362975
12,Protein Mut,0.003373994023177478
13,Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41),0.0038988107059732546
14,Catalase (EC 1.11.1.6),0.004608376641054864
15,60S ribosomal protein L23,0.005158944289242552
16,Dimethylaniline monooxygenase [N-oxide-forming] 1 (EC 1.14.13.8) (Dimethylaniline oxidase 1) (Hepatic flavin-containing monooxygenase 1) (FMO 1),0.00517491373951063
17,"Stress-70 protein, mitochondrial",0.00531026143962189
18,4-trimethylaminobutyraldehyde dehydrogenase,0.005816875480722392
19,"Fatty acid-binding protein, brain (Brain lipid-binding protein) (BLBP) (Brain-type fatty acid-binding protein) (B-FABP) (Fatty acid-binding protein 7)",0.006058774517026847
20,"Acyl-CoA synthetase family member 2, mitochondrial (EC 6.2.1.-)",0.006225401513964698
21,Carboxypeptidase Q (EC 3.4.17.-) (Hematopoietic lineage switch 2 related protein) (Hls2-rp) (Liver annexin-like protein 1) (LAL-1) (Plasma glutamate carboxypeptidase),0.006268380537881867
22,"Glycogen [starch] synthase, liver",0.007092752438327444
23,Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P-448) (Cytochrome P-450d) (Cytochrome P450-D),0.007347177807360559
24,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",0.007792763235845016
25,Formimidoyltransferase-cyclodeaminase (58 kDa microtubule-binding protein) (Formiminotransferase-cyclodeaminase) (FTCD) [Includes: Glutamate formimidoyltransferase (EC 2.1.2.5) (Glutamate formiminotransferase) (Glutamate formyltransferase) Formimidoyltetrahydrofolate cyclodeaminase (EC 4.3.1.4) (Formiminotetrahydrofolate cyclodeaminase)],0.00793390351167257
26,Adenosine kinase,0.008229394706822105
27,Hydroxyacid oxidase 1 (Hydroxyacid oxidase 1 (Mapped)) (Protein Hao1),0.009568264300113427
