Source	Interaction	Arrow	Arrow_Type	Dashes	Color	Target
hsa:158835	reaction	True	arrow	False	blue	C02075
hsa:7157	missing interaction	True	arrow	True	black	hsa:578
hsa:2053	reaction	True	arrow	False	blue	C14771
C00063	reaction	True	arrow	False	blue	hsa:5167
hsa:406911	inhibition	True	circle	False	black	hsa:578
hsa:7205	activation	True	arrow	False	black	hsa:8767
hsa:1543	reaction	True	arrow	False	blue	C01598
hsa:4908	activation	True	arrow	False	black	hsa:4916
hsa:162466	reaction	True	arrow	False	blue	C00189
hsa:391	activation	True	arrow	False	black	hsa:1432
hsa:107	reaction	True	arrow	False	blue	C00044
hsa:406971	inhibition	True	circle	False	black	hsa:5604
C05638	reaction	True	arrow	False	blue	hsa:4128
hsa:100526794	reaction	True	arrow	False	blue	C00655
C05345	reaction	True	arrow	False	blue	hsa:5207
hsa:5290	phosphorylation	True	circle	True	black	hsa:10000
hsa:7186	activation	True	arrow	False	black	hsa:56848
hsa:4790	activation	True	arrow	False	black	hsa:114548
hsa:3303	inhibition	True	circle	False	black	hsa:5599
C16164	reaction	True	arrow	False	blue	hsa:3992
hsa:1066	reaction	True	arrow	False	blue	C07447
hsa:101060521	reaction	True	arrow	False	blue	C00063
hsa:6833	indirect effect	True	arrow	True	black	hsa:773
C05477	reaction	True	arrow	False	blue	hsa:1109
hsa:6772	expression	True	arrow	False	black	hsa:6514
C14800	reaction	True	arrow	False	blue	hsa:2052
hsa:501	reaction	True	arrow	False	blue	C00956
hsa:570	reaction	True	arrow	False	blue	C05466
hsa:6489	reaction	True	arrow	False	blue	G00108
hsa:7157	expression	True	arrow	False	black	hsa:143686
hsa:1824	missing interaction	True	arrow	True	black	hsa:1824
hsa:4790	expression	True	arrow	False	black	hsa:7422
hsa:2643	reaction	True	arrow	False	blue	C04895
hsa:7372	reaction	True	arrow	False	blue	C00119
hsa:339403	binding/association	False	NA	False	black	hsa:2770
hsa:23705	binding/association	False	NA	False	black	hsa:23705
hsa:3553	activation	True	arrow	False	black	hsa:7850
C04295	reaction	True	arrow	False	blue	hsa:3283
hsa:9415	reaction	True	arrow	False	blue	C16300
hsa:468	expression	True	arrow	False	black	hsa:5071
hsa:3423	reaction	True	arrow	False	blue	G13035
hsa:22877	expression	True	arrow	False	black	hsa:5313
C00280	reaction	True	arrow	False	blue	hsa:1586
hsa:5350	inhibition	True	circle	False	black	hsa:488
hsa:3674	activation	True	arrow	False	black	hsa:10672
hsa:257202	reaction	True	arrow	False	blue	C04742
hsa:2064	activation	True	arrow	False	black	hsa:5290
hsa:54995	reaction	True	arrow	False	blue	C01209
hsa:10370	repression	True	circle	False	black	hsa:665
C00951	reaction	True	arrow	False	blue	hsa:10720
hsa:11035	phosphorylation	True	circle	True	black	hsa:197259
C00195	reaction	True	arrow	False	blue	hsa:166929
hsa:7299	reaction	True	arrow	False	blue	C00822
hsa:5163	activation	True	arrow	False	black	hsa:56288
hsa:4860	reaction	True	arrow	False	blue	C01762
hsa:5970	repression	True	circle	False	black	hsa:664
hsa:6772	expression	True	arrow	False	black	hsa:595
hsa:5290	indirect effect	True	arrow	True	black	hsa:6517
hsa:405753	activation	True	arrow	False	black	hsa:50506
C00022	reaction	True	arrow	False	blue	hsa:160287
hsa:2356	reaction	True	arrow	False	blue	C00101
hsa:2150	activation	True	arrow	False	black	hsa:2776
hsa:144715	binding/association	False	NA	False	black	hsa:3364
C00473	reaction	True	arrow	False	blue	hsa:10170
hsa:4851	expression	True	arrow	False	black	hsa:2064
hsa:2625	expression	True	arrow	False	black	hsa:3567
hsa:472	activation	True	arrow	False	black	hsa:11200
hsa:145226	reaction	True	arrow	False	blue	C00376
hsa:6714	activation	True	arrow	False	black	hsa:3716
C16236	reaction	True	arrow	False	blue	hsa:11019
hsa:2770	activation	True	arrow	False	black	hsa:5290
hsa:23761	reaction	True	arrow	False	blue	C00350
hsa:7494	expression	True	arrow	False	black	hsa:1050
C04598	reaction	True	arrow	False	blue	hsa:254531
C00430	reaction	True	arrow	False	blue	hsa:210
hsa:406913	inhibition	True	circle	False	black	hsa:5296
hsa:10858	reaction	True	arrow	False	blue	C00187
hsa:8942	reaction	True	arrow	False	blue	C02700
hsa:253430	reaction	True	arrow	False	blue	C04477
hsa:673	activation	True	arrow	False	black	hsa:5604
hsa:3595	expression	True	arrow	False	black	hsa:8807
hsa:84245	reaction	True	arrow	False	blue	C04188
