,protein,RYGB,SHAM
0,Tfrc,"[58995.58730944913 56665.446395003084 38887.4445460242 59931.18380262324
 48842.31475844707 74630.65750219219]",[6654.748723909054 5197.19164247816 205.36 9677.85875095262 205.36 205.36]
1,Fam65b,"[213025.22174361974 116886.96385008053 49842.66022845769 81359.37978519371
 12918.612069068167 127274.27482408134]","[2512408.873939551 2233334.311090519 3016884.2563258926 2008231.5840089058
 2092302.3011246407 2413770.4964673095]"
2,Scpep1,"[163047.1737902113 181772.88603035995 82439.5097226384 156278.09436763605
 134821.96253193764 134524.90955625812]","[11230.657106128787 41789.31413616105 76793.28030515143 54344.65681823029
 50737.94735513805 49406.54000683081]"
3,Fth1,"[65452.31480097804 59589.69217762027 63468.42346299158 30184.910929670637
 40919.18912820712 58653.80543637486]","[754469.8055327837 842997.3218800279 705377.6472108432 673367.4874540338
 682001.9377428183 827221.5451039635]"
4,Ociad2,"[100710.38357873414 96309.03308649099 77965.39567398802 90727.86237199926
 109958.00300963568 86224.14367790268]","[54435.16205797873 55557.06173366898 88408.73111425055 73387.85032783504
 62262.85848039504 58952.80564391249]"
5,Fdft1,"[139437.3502855597 91597.55757450654 205.36 140872.86962298737
 124014.88124130263 106293.40533029407]",[205.36 51907.90155421844 205.36 53702.344943991426 78153.123058655 205.36]
6,Cpq,"[1696312.7996687102 1815898.5679743993 1008709.9587643093
 1481007.3737689883 1172684.478473336 1482012.0005716614]","[682445.549545076 1017036.0644660696 1206759.094191836 1099042.754531364
 670270.0030367505 702821.8063652552]"
7,Asl,"[3291759.2235186184 3161120.695484042 3678547.0265528215 3155480.559250633
 3593906.109781519 2876439.210906869]","[2284227.683046521 2473567.3165040663 2908365.7723272676 2947797.800957349
 2137479.678133771 2466539.1411688933]"
8,Glb1,"[205.36 75657.19172878515 71606.45315251475 69587.55526754112
 70767.41506473703 105574.25983335247]",[205.36 205.36 205.36 205.36 53935.95540162208 30299.886656835224]
9,Ebp,"[533466.4439902077 392844.06683594204 418338.03013534326 560733.1376188799
 409042.07238398545 542127.525239269]","[324963.8764503546 154858.74489677057 413643.5232973319 248335.8425709225
 142456.58914766787 429100.4633490835]"
10,A1i3,"[732559.4994519041 338130.1980687366 474024.940837888 476542.09943783504
 300802.18403652305 631551.2612840306]","[742527.6216843394 644585.0797688641 965352.3216604536 683867.4522250454
 1006846.6723184609 670476.8514230261]"
11,Ftcd,"[6793435.991233321 4475016.356321712 5667264.950832915 5661055.879684827
 5595539.585776695 4567901.217040443]","[6697553.642169681 7550181.807279512 7102554.011079213 6013448.909011669
 6496386.509568687 7072829.773229478]"
12,Acox2,"[5953734.36241716 3492385.4658255293 2752190.280738209 3933050.081818186
 3689910.1407144577 4760335.284904032]","[5442813.65116545 5139562.277440596 6377214.351469109 4687031.483616586
 4791922.4271162385 5292687.380422574]"
13,Ldha,"[15187584.919033432 17037817.74693131 13783953.110464165 16018259.24618069
 13966967.266248394 17823595.95998632]","[20335815.58397082 19746709.284895018 17477234.120958548
 13874946.538622616 24855527.755374324 25189109.42525303]"
14,Ndufa13,"[366324.73642597924 289119.53762800526 377366.866637086 429171.93092404807
 392339.4193003212 353382.6890432788]","[337450.6662061342 201896.54612657108 377611.21218067245
 284645.85116442543 304890.8888547166 269497.399450308]"
15,Igkc,"[438385.025557294 469342.66986588045 457395.43906017666 338548.6537459402
 598517.6105330499 779144.0639844183]","[115453.40471589692 206845.64608124646 259856.06860533656
 247437.97616129962 286822.91903254716 330085.33447210526]"
